NAMESPACE              NAME                                                              READY   STATUS      RESTARTS       AGE
kube-system            coredns-7c65d6cfc9-fzl4j                                          1/1     Running     1 (62m ago)    20h
kube-system            coredns-7c65d6cfc9-zhlm4                                          1/1     Running     1 (62m ago)    20h
kube-system            etcd-kind-cluster-control-plane                                   1/1     Running     1 (62m ago)    20h
kube-system            kindnet-wkhtp                                                     1/1     Running     1 (62m ago)    20h
kube-system            kube-apiserver-kind-cluster-control-plane                         1/1     Running     1 (62m ago)    20h
kube-system            kube-controller-manager-kind-cluster-control-plane                1/1     Running     1 (62m ago)    20h
kube-system            kube-proxy-grb52                                                  1/1     Running     1 (62m ago)    20h
kube-system            kube-scheduler-kind-cluster-control-plane                         1/1     Running     1 (62m ago)    20h
kubeflow               cache-deployer-deployment-68758cf76d-lmk9z                        1/1     Running     1 (6h5m ago)   20h
kubeflow               cache-server-859784c76b-4ppsd                                     1/1     Running     1 (62m ago)    20h
kubeflow               controller-manager-57488687d6-8l2gz                               1/1     Running     1 (62m ago)    20h
kubeflow               metadata-envoy-deployment-9d84c55d9-855j7                         1/1     Running     1 (62m ago)    20h
kubeflow               metadata-grpc-deployment-66b7d897b4-ltqp8                         1/1     Running     3 (61m ago)    20h
kubeflow               metadata-writer-649fb88c88-dl5s8                                  1/1     Running     1 (6h5m ago)   20h
kubeflow               minio-74cb9dcb78-l5kfp                                            1/1     Running     1 (62m ago)    20h
kubeflow               ml-pipeline-d87944db4-gmv8z                                       1/1     Running     1 (62m ago)    20h
kubeflow               ml-pipeline-persistenceagent-569bfd5c7d-b74bz                     1/1     Running     1 (62m ago)    20h
kubeflow               ml-pipeline-scheduledworkflow-57c545b659-4hcdv                    1/1     Running     1 (62m ago)    20h
kubeflow               ml-pipeline-ui-784bf4568d-dgtdw                                   1/1     Running     1 (62m ago)    20h
kubeflow               ml-pipeline-viewer-crd-6c484f454b-ntfxm                           1/1     Running     1 (62m ago)    20h
kubeflow               ml-pipeline-visualizationserver-78f86cd8c4-d79b6                  1/1     Running     1 (62m ago)    20h
kubeflow               mysql-54cdf74b6b-2llgs                                            1/1     Running     1 (62m ago)    20h
kubeflow               tutorial-control-flows-pk5xj-system-container-driver-1205242866   0/2     Completed   0              31m
kubeflow               tutorial-control-flows-pk5xj-system-container-driver-1573451990   0/2     Completed   0              31m
kubeflow               tutorial-control-flows-pk5xj-system-container-driver-1749942346   0/2     Completed   0              32m
kubeflow               tutorial-control-flows-pk5xj-system-container-driver-437810776    0/2     Completed   0              31m
kubeflow               tutorial-control-flows-pk5xj-system-container-driver-904925294    0/2     Completed   0              30m
kubeflow               tutorial-control-flows-pk5xj-system-container-impl-1824112932     0/2     Completed   0              31m
kubeflow               tutorial-control-flows-pk5xj-system-container-impl-1917832512     0/2     Completed   0              31m
kubeflow               tutorial-control-flows-pk5xj-system-container-impl-2651545128     0/2     Completed   0              30m
kubeflow               tutorial-control-flows-pk5xj-system-container-impl-3027706286     0/2     Completed   0              31m
kubeflow               tutorial-control-flows-pk5xj-system-container-impl-4223116828     0/2     Completed   0              31m
kubeflow               tutorial-control-flows-pk5xj-system-dag-driver-1331508946         0/2     Completed   0              31m
kubeflow               tutorial-control-flows-pk5xj-system-dag-driver-1436192409         0/2     Completed   0              31m
kubeflow               tutorial-control-flows-pk5xj-system-dag-driver-1450045144         0/2     Completed   0              31m
kubeflow               tutorial-control-flows-pk5xj-system-dag-driver-2551852775         0/2     Completed   0              32m
kubeflow               tutorial-control-flows-pk5xj-system-dag-driver-2584947886         0/2     Completed   0              30m
kubeflow               tutorial-control-flows-pk5xj-system-dag-driver-2983314633         0/2     Completed   0              30m
kubeflow               tutorial-control-flows-pk5xj-system-dag-driver-3154694100         0/2     Completed   0              32m
kubeflow               tutorial-control-flows-pk5xj-system-dag-driver-3953099556         0/2     Completed   0              31m
kubeflow               tutorial-control-flows-pk5xj-system-dag-driver-3960585870         0/2     Completed   0              31m
kubeflow               tutorial-control-flows-pk5xj-system-dag-driver-816614356          0/2     Completed   0              31m
kubeflow               tutorial-control-flows-pk5xj-system-dag-driver-972010978          0/2     Completed   0              31m
kubeflow               workflow-controller-58dc659758-p4n5q                              1/1     Running     1 (49m ago)    50m
kubernetes-dashboard   dashboard-metrics-scraper-6b96ff7878-z524s                        1/1     Running     0              4m57s
kubernetes-dashboard   kubernetes-dashboard-8696f5f494-mjvtn                             1/1     Running     0              4m57s
local-path-storage     local-path-provisioner-57c5987fd4-fhrgx                           1/1     Running     2 (61m ago)    20h
